"","Name","Class","rt.sd","rt","T1F7","T1F8","T2F1","T2F2","T3F1"
"1","Unknown 1","Unknown",7e-04,9.444,1598464,1261664,1524431,1259521,1196244
"2","Unknown 2","Unknown",0.0027,13.793,553280,341026,507798,434210,202469
"3","Unknown 3","Unknown",0.0033,12.617,450560,255491,370447,279845,169402
"4","Unknown 4","Unknown",0.0041,12.526,177408,0,0,105087,0
"5","Unknown 5","Unknown",0.0023,13.25,148480,96816,106439,115312,89446
"6","Unknown 6","Unknown",0.0031,14.538,80328,76404,80684,84833,62623
"7","Unknown 7","Unknown",0.0029,11.512,60624,42653,52619,44760,40209
"8","Unknown 8","Unknown",0.0042,13.071,46863,32406,70384,51384,32598
"9","Unknown 9","Unknown",0.0061,14.394,45664,38847,40901,44452,36423
"10","Unknown 10","Unknown",0.0021,14.479,26560,17714,21362,20751,19362
"11","Unknown 11","Unknown",0.0042,12.349,19550,11890,12381,6400,4681
"12","Unknown 12","Unknown",0.0031,15.307,15391,0,15970,13640,0
"13","Unknown 13","Unknown",0.0037,11.416,11940,6495,8875,6005,13066
"14","Unknown 14","Unknown",0.0045,13.933,4873,0,4691,0,3969
"15","Unknown 15","Unknown",0.0038,9.857,4453,5910,4908,2745,4284
"16","Unknown 16","Unknown",0.0096,13.764,4054,0,0,3089,0
"17","Unknown 17","Unknown",0,16.391,3777,0,2965,2140,2168
"18","Unknown 18","Unknown",0.0039,12.287,3604,3427,3604,2799,0
"19","Unknown 19","Unknown",0.0051,14.225,0,8998,0,0,10922
"20","Unknown 20","Unknown",0.0019,13.931,0,6118,0,7173,0
"21","Unknown 21","Unknown",0.004,12.467,0,3238,0,0,2005
