row ID,row m/z,row retention time,T1F7.CDF Peak area,T1F8.CDF Peak area,T2F1.CDF Peak area,T2F2.CDF Peak area,T3F1.CDF Peak area
1,0,5.79,10337.6895,12572.06494,8218.541621,11755.22176,8141.026754
2,0,7.98,3458.264059,2994.033833,2686.69311,3108.717723,3534.494375
3,0,7.98,1.953632394,18.23966872,1799.887113,0,0
4,0,8.62,35682.33728,28892.92966,32431.3687,31583.42701,27443.70087
5,0,8.78,72184.88229,57564.02475,52306.52788,29459.93978,50746.81371
6,0,8.93,2360.75452,2945.787472,3136.402859,1373.085896,2404.044259
7,0,9.13,14315.33257,21455.21399,12578.96419,12192.56357,0
8,0,9.13,3785.148295,416.2751441,4302.524207,0,14955.51084
9,0,9.36,16252.5143,15306.15006,8377.970668,0,11509.69436
10,0,9.36,2496.20524,3380.162425,2790.83866,5813.897611,0
11,0,9.45,4863478.447,3820693.161,4460736.907,3854041.612,3641714.484
12,0,9.52,125460.1942,124435.0359,123639.5242,121603.7604,125767.2182
13,0,9.64,7315.639555,7074.976754,5817.807733,3430.442113,6937.704443
14,0,9.71,26185.26304,29353.14917,23952.18677,14481.35119,25347.06323
15,0,9.86,125030.0527,145140.0569,126096.7035,76685.15187,126871.3978
16,0,10.05,16774.91654,13852.23678,11818.58354,11469.03888,13264.45989
17,0,10.13,18296.32368,13656.85492,14729.20552,13583.48182,14288.83404
18,0,10.22,8263.963365,7228.687461,6565.109644,6962.704352,7187.314563
19,0,10.25,30651.2424,31239.63275,26581.89014,18381.51704,27995.49738
20,0,10.37,1092.623837,801.3864452,0,624.9448712,913.3829456
21,0,10.37,833.4348428,771.1446531,639.3210784,727.535688,0
22,0,10.44,6825.896434,6947.278658,5145.224711,5123.71065,6174.741624
23,0,10.54,0,3609.020326,0,0,2600.600977
24,0,10.54,3454.159978,0,0,0,2445.081572
25,0,10.54,1970.874988,701.4503844,2135.040831,0,0
26,0,10.54,0,96.92353385,0,3563.295404,0
27,0,10.77,34225.59962,28909.46606,30701.49199,22599.48651,31194.56227
28,0,10.84,7529.509478,9689.155217,8594.453863,3965.719463,9725.861577
29,0,10.97,31843.03633,35603.90154,27164.81567,18121.25893,34278.99069
30,0,11.11,17292.78809,19332.83179,15362.65874,11715.71171,17700.53251
