T1F7	T1F8	T2F1	T2F2	T3F1					
RT	Area								
8.774	483322	8.774	0.023	9.447	42843595	9.447	37109962	9.446	35481178
9.373	412604	9.374	0.022	9.861	1736787	9.862	791237	9.861	1583314
9.448	47239316	9.446	0.024	9.967	949997	11.238	864078	9.966	736385
9.708	493990	9.709	0.025	10.768	531583	11.416	2329703	10.769	517701
9.862	1519123	9.862	0.038	11.235	1168239	11.512	2436606	10.963	418437
9.964	761754	9.966	0.036	11.415	3800103	12.289	975472	11.237	986452
10.768	661178	10.768	0.03	11.511	3172350	12.339	1487068	11.415	3974442
10.963	425260	10.963	0.026	12.288	1144744	12.381	1297552	11.512	4576765
11.235	1217340	11.237	0.032	12.338	2440454	12.459	1296738	11.639	790579
11.415	4551983	11.415	0.031	12.38	2124840	12.531	4941627	12.289	1486295
11.511	3273799	11.512	0.039	12.459	1981917	12.616	15074254	12.34	1081417
11.595	209953	11.576	0.056	12.53	6657814	12.977	1484830	12.379	1145508
12.29	1071219	12.288	0.035	12.616	20022813	13.077	9669276	12.459	1268998
12.339	3773786	12.338	0.026	12.973	2156576	13.131	2250072	12.531	5972296
12.379	3188492	12.379	0.033	13.076	14586940	13.248	13320609	12.616	9358054
12.458	2534686	12.458	0.036	13.13	3028321	13.407	2047516	12.949	1713268
12.531	7848788	12.531	0.025	13.248	11385130	13.5	1699730	13.066	10622513
12.617	22750352	12.615	0.025	13.311	3384865	13.613	4245644	13.13	1638380
12.951	1770189	12.95	0.045	13.614	5449290	13.697	6186592	13.247	9015179
13.074	11227976	13.066	0.041	13.696	7788404	13.796	28271011	13.311	3339729
13.132	2787240	13.13	0.04	13.796	35005187	13.926	2733844	13.496	3250299
13.249	17401727	13.247	0.041	13.927	5559804	14.224	1820662	13.617	4714282
13.405	1337699	13.407	0.042	14.224	3918361	14.392	3115884	13.697	4685377
13.498	2846447	13.499	0.069	14.392	4852343	14.481	3325255	13.794	15504471
13.615	3759033	13.613	0.064	14.481	4519699	14.534	10744608	13.927	2732817
13.697	7563926	13.696	0.038	14.534	12936815	14.709	1889146	14.224	1881934
13.796	34028703	13.794	0.032	14.736	11158266	14.764	3653282	14.394	2248826
13.927	2916703	13.925	0.081	15.188	2502946	15.182	1160441	14.482	3128719
14.223	2433530	14.222	0.055	15.306	1801714	15.307	1231478	14.534	7886678
14.393	2785995	14.392	0.043					14.738	5386166
14.481	4236544	14.48	0.035						
14.536	9817351	14.534	0.052						
14.723	2237039	14.741	0.165						
15.186	1299913	15.303	0.043						
15.307	1347211								
